Controller,waste,duration_d,box,replicates,parameter,value,run
all,chicken_feed,0,NA,1,wasteMC_perc,0.652,CF
all,chicken_feed,0,NA,2,wasteMC_perc,0.65,CF
all,chicken_feed,0,NA,3,wasteMC_perc,0.651,CF
all,chicken_feed,0,NA,4,wasteMC_perc,0.649,CF
all,chicken_feed,0,NA,1,larval_mass_mg,5.81,CF
all,chicken_feed,0,NA,2,larval_mass_mg,5.55,CF
all,chicken_feed,0,NA,3,larval_mass_mg,5.43,CF
all,chicken_feed,0,NA,1,larval_mass_mgDM,1.6,CF
all,chicken_feed,0,NA,2,larval_mass_mgDM,1.5,CF
all,chicken_feed,0,NA,3,larval_mass_mgDM,1.5,CF
Chamber 1,chicken_feed,0,NA,1,number_larvae,12000,CF
Chamber 1,chicken_feed,0,NA,1,feedstock_g,6000,CF
Chamber 1,chicken_feed,0,NA,1,cocopeat_perc,0,CF
Chamber 2,chicken_feed,0,NA,1,number_larvae,12000,CF
Chamber 2,chicken_feed,0,NA,1,feedstock_g,6000,CF
Chamber 2,chicken_feed,0,NA,1,cocopeat_perc,0,CF
Chamber 3,chicken_feed,0,NA,1,number_larvae,12000,CF
Chamber 3,chicken_feed,0,NA,1,feedstock_g,6000,CF
Chamber 3,chicken_feed,0,NA,1,cocopeat_perc,0,CF
Chamber 4,chicken_feed,0,NA,1,number_larvae,12000,CF
Chamber 4,chicken_feed,0,NA,1,feedstock_g,6000,CF
Chamber 4,chicken_feed,0,NA,1,cocopeat_perc,0,CF
Chamber 1,chicken_feed,6,1,1,frass_g,1181,CF
Chamber 1,chicken_feed,6,2,1,frass_g,1310,CF
Chamber 1,chicken_feed,6,3,1,frass_g,1287,CF
Chamber 2,chicken_feed,6,1,1,frass_g,1214,CF
Chamber 2,chicken_feed,6,2,1,frass_g,1274,CF
Chamber 2,chicken_feed,6,3,1,frass_g,1231,CF
Chamber 3,chicken_feed,6,1,1,frass_g,1229,CF
Chamber 3,chicken_feed,6,2,1,frass_g,1252,CF
Chamber 3,chicken_feed,6,3,1,frass_g,1300,CF
Chamber 4,chicken_feed,6,1,1,frass_g,1204,CF
Chamber 4,chicken_feed,6,2,1,frass_g,1242,CF
Chamber 4,chicken_feed,6,3,1,frass_g,1301,CF
Chamber 1,chicken_feed,6,1,1,larvae_g,1831,CF
Chamber 1,chicken_feed,6,2,1,larvae_g,1563,CF
Chamber 1,chicken_feed,6,3,1,larvae_g,1563,CF
Chamber 2,chicken_feed,6,1,1,larvae_g,1731,CF
Chamber 2,chicken_feed,6,2,1,larvae_g,1613,CF
Chamber 2,chicken_feed,6,3,1,larvae_g,1577,CF
Chamber 3,chicken_feed,6,1,1,larvae_g,1830,CF
Chamber 3,chicken_feed,6,2,1,larvae_g,1634,CF
Chamber 3,chicken_feed,6,3,1,larvae_g,1570,CF
Chamber 4,chicken_feed,6,1,1,larvae_g,1754,CF
Chamber 4,chicken_feed,6,2,1,larvae_g,1633,CF
Chamber 4,chicken_feed,6,3,1,larvae_g,1580,CF
Chamber 1,chicken_feed,6,1,1,frassMC_perc,0.364,CF
Chamber 1,chicken_feed,6,1,2,frassMC_perc,0.36,CF
Chamber 1,chicken_feed,6,1,3,frassMC_perc,0.366,CF
